iter	Passed	Remaining
0	0	89
1	1	77
2	2	70
3	2	64
4	3	62
5	3	61
6	4	60
7	5	59
8	5	58
9	6	57
10	6	55
11	7	55
12	8	54
13	8	53
14	9	52
15	10	53
16	11	54
17	11	53
18	12	52
19	13	52
20	13	52
21	14	51
22	15	50
23	15	49
24	16	49
25	16	48
26	17	47
27	18	46
28	18	45
29	19	45
30	20	44
31	20	44
32	21	43
33	22	43
34	22	42
35	23	42
36	24	42
37	25	41
38	26	41
39	27	40
40	27	39
41	28	38
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	30
53	35	30
54	36	29
55	36	28
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	2
97	65	1
98	66	0
99	66	0
