iter	Passed	Remaining
0	0	810
1	1	703
2	2	699
3	2	730
4	3	742
5	4	720
6	4	703
7	5	698
8	6	692
9	6	688
10	7	683
11	8	682
12	9	690
13	9	692
14	10	689
15	11	683
16	11	679
17	12	677
18	13	674
19	13	674
20	14	675
21	15	681
22	16	681
23	16	679
24	17	677
25	18	675
26	18	672
27	19	670
28	19	668
29	20	668
30	21	671
31	22	670
32	22	670
33	23	668
34	24	666
35	24	664
36	25	662
37	26	661
38	26	659
39	27	662
40	28	662
41	28	660
42	29	658
43	30	656
44	30	654
45	31	652
46	32	651
47	32	650
48	33	651
49	34	652
50	34	651
51	35	650
52	36	649
53	37	648
54	37	647
55	38	646
56	38	644
57	39	645
58	40	646
59	41	645
60	41	644
61	42	642
62	43	640
63	43	639
64	44	637
65	44	636
66	45	636
67	46	636
68	47	635
69	47	634
70	48	633
71	49	632
72	49	631
73	50	630
74	50	628
75	51	627
76	52	628
77	53	627
78	53	626
79	54	624
80	54	623
81	55	621
82	55	617
83	56	616
84	57	615
85	57	614
86	58	616
87	59	616
88	60	615
89	60	613
90	61	612
91	61	611
92	62	609
93	63	607
94	63	606
95	64	607
96	65	606
97	65	604
98	66	603
99	66	601
100	67	600
101	68	599
102	68	597
103	69	596
104	69	595
105	70	596
106	71	595
107	72	594
108	72	593
109	73	592
110	73	591
111	74	590
112	75	589
113	75	588
114	76	587
115	77	588
116	77	587
117	78	587
118	79	587
119	79	586
120	80	585
121	81	583
122	81	582
123	82	581
124	82	580
125	83	579
126	84	578
127	84	577
128	85	575
129	85	574
130	86	573
131	87	572
132	87	571
133	88	570
134	89	570
135	89	569
136	90	569
137	90	568
138	91	566
139	92	566
140	92	565
141	93	563
142	93	562
143	94	561
144	95	560
145	95	559
146	96	559
147	97	558
148	97	557
149	98	556
150	98	555
151	99	554
152	100	554
153	100	553
154	101	552
155	101	551
156	102	551
157	103	550
158	104	550
159	104	549
160	105	547
161	106	549
162	106	548
163	107	548
164	108	547
165	108	547
166	109	546
167	110	545
168	110	544
169	111	543
170	112	543
171	112	542
172	113	541
173	113	541
174	114	540
175	115	540
176	115	539
177	116	538
178	117	537
179	117	536
180	118	535
181	119	535
182	119	534
183	120	535
184	121	535
185	122	534
186	122	534
187	123	533
188	124	532
189	124	531
190	125	531
191	126	530
192	126	529
193	127	530
194	128	529
195	128	528
196	129	527
197	130	526
198	130	526
199	131	525
200	131	524
201	132	523
202	133	523
203	134	523
204	134	522
205	135	521
206	135	520
207	136	519
208	137	519
209	137	518
210	138	517
211	139	517
212	140	517
213	140	516
214	141	515
215	141	514
216	142	514
217	143	513
218	143	512
219	144	511
220	145	511
221	145	511
222	146	510
223	147	509
224	147	508
225	148	508
226	148	507
227	149	506
228	150	505
229	150	505
230	151	504
231	152	504
232	152	503
233	153	502
234	154	501
235	154	501
236	155	500
237	156	499
238	156	498
239	157	498
240	158	498
241	158	497
242	159	496
243	160	496
244	160	495
245	161	494
246	162	494
247	162	493
248	163	492
249	164	492
250	164	491
251	165	490
252	166	490
253	166	489
254	167	488
255	167	488
256	168	487
257	169	486
258	169	486
259	170	485
260	171	485
261	172	484
262	172	483
263	173	483
264	173	482
265	174	481
266	175	480
267	175	480
268	176	479
269	177	479
270	177	478
271	178	477
272	179	477
273	179	476
274	180	475
275	181	474
276	181	474
277	182	473
278	183	473
279	183	472
280	184	471
281	185	471
282	185	470
283	186	469
284	186	468
285	187	468
286	188	467
287	189	467
288	189	466
289	190	466
290	191	465
291	191	464
292	192	464
293	192	463
294	193	462
295	194	462
296	194	461
297	195	461
298	196	460
299	196	459
300	197	459
301	198	458
302	198	457
303	199	456
304	200	456
305	200	455
306	201	455
307	202	454
308	202	453
309	203	453
310	204	452
311	204	452
312	205	451
313	206	450
314	206	450
315	207	449
316	208	448
317	208	447
318	209	447
319	210	446
320	210	445
321	211	444
322	211	444
323	212	443
324	213	443
325	213	442
326	214	441
327	215	440
328	215	440
329	216	439
330	217	438
331	217	437
332	218	437
333	219	436
334	219	436
335	220	435
336	220	434
337	221	433
338	222	433
339	222	432
340	223	431
341	223	430
342	224	430
343	225	429
344	226	429
345	226	428
346	227	427
347	227	426
348	228	426
349	229	425
350	229	424
351	230	423
352	230	423
353	231	422
354	232	421
355	232	421
356	233	420
357	234	419
358	234	419
359	235	418
360	235	417
361	236	416
362	237	416
363	237	415
364	238	415
365	239	414
366	239	413
367	240	412
368	241	412
369	241	411
370	242	410
371	242	410
372	243	409
373	244	409
374	245	408
375	245	407
376	246	406
377	246	406
378	247	405
379	248	404
380	248	404
381	249	403
382	250	402
383	250	402
384	251	401
385	251	400
386	252	400
387	253	399
388	253	398
389	254	397
390	255	397
391	255	396
392	256	396
393	257	395
394	257	394
395	258	394
396	259	393
397	259	392
398	260	392
399	261	391
400	261	390
401	262	390
402	263	389
403	263	389
404	264	388
405	265	387
406	265	387
407	266	386
408	266	385
409	267	385
410	268	384
411	269	383
412	269	383
413	270	382
414	270	381
415	271	381
416	272	380
417	273	380
418	273	379
419	274	379
420	275	378
421	275	377
422	276	377
423	277	376
424	277	375
425	278	375
426	279	374
427	279	373
428	280	373
429	281	372
430	281	371
431	282	371
432	282	370
433	283	369
434	284	369
435	285	368
436	285	368
437	286	367
438	287	366
439	287	366
440	288	365
441	289	364
442	289	364
443	290	363
444	291	363
445	291	362
446	292	361
447	293	361
448	293	360
449	294	360
450	295	359
451	295	358
452	296	358
453	297	357
454	297	356
455	298	356
456	299	355
457	299	354
458	300	354
459	301	353
460	302	353
461	302	352
462	303	351
463	304	351
464	304	350
465	305	350
466	306	349
467	307	349
468	307	348
469	308	347
470	309	347
471	310	346
472	310	346
473	311	345
474	312	345
475	312	344
476	313	343
477	314	343
478	315	342
479	315	342
480	316	341
481	317	341
482	318	340
483	319	340
484	319	339
485	320	338
486	321	338
487	321	337
488	322	336
489	323	336
490	323	335
491	324	334
492	325	334
493	325	333
494	326	332
495	326	332
496	327	331
497	328	330
498	328	330
499	329	329
500	330	328
501	330	328
502	331	327
503	332	326
504	332	326
505	333	325
506	334	324
507	334	324
508	335	323
509	336	323
510	337	322
511	337	321
512	338	321
513	338	320
514	339	319
515	340	319
516	341	318
517	341	318
518	342	317
519	343	316
520	343	316
521	344	315
522	345	314
523	345	314
524	346	313
525	347	312
526	348	312
527	348	311
528	349	311
529	350	310
530	350	309
531	351	309
532	351	308
533	352	307
534	353	307
535	354	306
536	354	305
537	355	305
538	356	304
539	356	304
540	357	303
541	358	302
542	359	302
543	360	301
544	361	301
545	361	300
546	362	300
547	363	299
548	364	299
549	364	298
550	365	297
551	366	297
552	367	296
553	367	296
554	368	295
555	369	294
556	369	294
557	370	293
558	371	292
559	371	292
560	372	291
561	373	291
562	374	290
563	374	289
564	375	288
565	375	288
566	376	287
567	377	286
568	377	286
569	378	285
570	379	285
571	380	284
572	380	283
573	381	283
574	382	282
575	382	281
576	383	281
577	384	280
578	385	280
579	386	279
580	386	278
581	387	278
582	387	277
583	388	276
584	389	276
585	390	275
586	390	275
587	391	274
588	392	273
589	393	273
590	393	272
591	394	271
592	394	271
593	395	270
594	396	269
595	397	269
596	398	268
597	398	268
598	399	267
599	400	266
600	400	265
601	401	265
602	402	264
603	402	264
604	403	263
605	404	263
606	405	262
607	405	261
608	406	261
609	407	260
610	407	259
611	408	259
612	409	258
613	410	257
614	410	257
615	411	256
616	412	255
617	412	255
618	413	254
619	414	253
620	414	253
621	415	252
622	416	251
623	417	251
624	417	250
625	418	249
626	418	249
627	419	248
628	420	247
629	420	247
630	421	246
631	422	245
632	423	245
633	423	244
634	424	243
635	425	243
636	425	242
637	426	241
638	427	241
639	427	240
640	428	240
641	429	239
642	429	238
643	430	238
644	431	237
645	431	236
646	432	235
647	433	235
648	433	234
649	434	233
650	435	233
651	435	232
652	436	231
653	437	231
654	437	230
655	438	229
656	439	229
657	439	228
658	440	227
659	441	227
660	441	226
661	442	225
662	443	225
663	443	224
664	444	223
665	445	223
666	445	222
667	446	221
668	447	221
669	447	220
670	448	219
671	449	219
672	449	218
673	450	217
674	451	217
675	451	216
676	452	215
677	453	215
678	454	214
679	454	213
680	455	213
681	455	212
682	456	211
683	457	211
684	457	210
685	458	209
686	459	209
687	459	208
688	460	207
689	461	207
690	461	206
691	462	205
692	462	205
693	463	204
694	464	203
695	464	203
696	465	202
697	466	201
698	467	201
699	467	200
700	468	199
701	468	199
702	469	198
703	470	197
704	471	197
705	471	196
706	472	195
707	473	195
708	473	194
709	474	193
710	475	193
711	475	192
712	476	191
713	477	191
714	478	190
715	478	189
716	479	189
717	480	188
718	480	187
719	481	187
720	482	186
721	482	185
722	483	185
723	484	184
724	485	184
725	485	183
726	486	182
727	487	181
728	487	181
729	488	180
730	489	179
731	489	179
732	490	178
